Bioma;Estado;Cenário;Erosão;Bioprospecção;Carbono;PFNM;PFM;Área;Valor;Valores_ha;Valor_pecuaria;Diferenca_pecuaria;Diferenca_pecuaria_ha
MAT;RN;ERL Florestas a Mais;3411655.479;783230.608;136079030.7;225117481.2;0;15553.45;365406951.5;23492.62691;108874150;256532801.5;16492.62691
PAN;RN;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;RN;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;RO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;RO;ERL Florestas a Mais;8942893.924;7202375.007;94283410.43;195517882.9;0;26331.09;305972893.3;11619.21372;184317630;121655263.3;4619.213722
FAM;RO;ERL Florestas a Mais;13816245.76;46041900.85;2069658912;1142671502;0;168324.12;3272356885;19439.80792;1178268840;2094088045;12439.80792
MAT;RO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;RO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;RO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;RR;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;RR;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;RR;ERL Florestas a Mais;55016991.93;183341186.3;8241486843;4550175924;0;670275.19;13030691220;19439.80792;4691926330;8338764890;12439.80792
MAT;RR;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;RR;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;RR;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;RS;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;RS;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;RS;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;RS;ERL Florestas a Mais;132200299.2;30349875.99;5273008568;8723213274;0;602690.03;14159374707;23492.62691;4218830210;9940544497;16492.62691
PAN;RS;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;RS;ERL Florestas a Mais;2532932589;2836549431;10013353184;15341056939;0;4059902.53;30727952046;7567.642798;28419317710;2308634336;567.6427984
CAA;SC;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;SC;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;SC;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;SC;ERL Florestas a Mais;208313172.6;47823484.49;8308885465;13745507721;0;949682.21;22311479525;23492.62691;6647775470;15663704055;16492.62691
PAN;SC;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;SC;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;SE;ERL Florestas a Mais;16398604.57;12946690.49;123876386.2;357550061.1;0;51702.76;510823445.1;9879.00341;361919320;148904125.1;2879.00341
CER;SE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
FAM;SE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;SE;ERL Florestas a Mais;4644957.49;1066365.845;185271143.8;306496695.5;0;21175.97;497500338.6;23492.62691;148231790;349268548.6;16492.62691
PAN;SE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;SE;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;SP;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;SP;ERL Florestas a Mais;49441128.33;39818603.47;521249411.4;1080928033;0;145572.43;1691582749;11619.21372;1019007010;672575738.6;4619.213722
FAM;SP;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
MAT;SP;ERL Florestas a Mais;143878328;33030858.78;5738804383;9493785935;0;655929.18;15410155434;23492.62691;4591504260;10818651174;16492.62691
PAN;SP;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;SP;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;TO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CER;TO;ERL Florestas a Mais;1051456791;846816050.3;11085330206;22987928450;0;3095866.24;35974627364;11619.21372;21671063680;14303563684;4619.213722
FAM;TO;ERL Florestas a Mais;186018.1611;619895.5838;27865322.58;15384617.16;0;2266.27;44058119.76;19439.80792;15863890;28194229.76;12439.80792
MAT;TO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
PAN;TO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
SUL;TO;ERL Florestas a Mais;0;0;0;0;0;0;0;;0;0;0
CAA;AC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;AC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;AC;Área prioritária para restauração;586243874.7;42479795.8;1909536451;1054266900;0;89724;3592616745;40039.75549;628068000;2964548745;33039.75549
MAT;AC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;AC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;AC;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;AL;Área prioritária para restauração;90077688.14;6007242.583;57478434.55;165902626.1;0;13860;319479851.4;23049.49433;97020000;222459851.4;16049.49433
CER;AL;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;AL;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;AL;Área prioritária para restauração;219237815.4;2731237.796;474527154.7;785017039.5;0;31335;1481544582;47279.8228;219345000;1262199582;40279.8228
PAN;AL;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;AL;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;AM;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;AM;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;AM;Área prioritária para restauração;374409664.7;27130084.91;1219541786;673316572.7;0;57303;2294455412;40039.75549;401121000;1893334412;33039.75549
MAT;AM;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;AM;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;AM;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;AP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;AP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;AP;Área prioritária para restauração;8304533.511;601754.4967;27049850.98;14934390.24;0;1271;50891800.22;40039.75549;8897000;41994800.22;33039.75549
MAT;AP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;AP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;AP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;BA;Área prioritária para restauração;1076278894;71776580.14;686771910.2;1982261075;0;165604;3817254063;23049.49433;1159228000;2658026063;16049.49433
CER;BA;Área prioritária para restauração;241707177.9;25310617.93;331331175.6;687089804;0;53460;1285492235;24044.87047;374220000;911272235.5;17044.87047
FAM;BA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;BA;Área prioritária para restauração;2061381198;25680433.96;4461736461;7381114259;0;294627;13930206979;47279.8228;2062389000;11867817979;40279.8228
PAN;BA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;BA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;CE;Área prioritária para restauração;501945893.8;33474557.46;320290904.5;924470239.9;0;77233;1780258829;23049.49433;540631000;1239627829;16049.49433
CER;CE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;CE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;CE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;CE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;CE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;DF;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;DF;Área prioritária para restauração;16407694.51;1718148.756;22491598.14;46641393.54;0;3629;87262463.95;24044.87047;25403000;61859463.95;17044.87047
FAM;DF;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;DF;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;DF;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;DF;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;ES;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;ES;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;ES;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;ES;Área prioritária para restauração;1016232168;12660095.62;2199573820;3638786339;0;145247;6867397669;47279.8228;1016729000;5850668669;40279.8228
PAN;ES;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;ES;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;GO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;GO;Área prioritária para restauração;1742520667;182469859.8;2388639950;4953382827;0;385405;9267398710;24044.87047;2697835000;6569563710;17044.87047
FAM;GO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;GO;Área prioritária para restauração;104249033;1298721.658;225640804.4;373280800.7;0;14900;704484259.7;47279.8228;104300000;600184259.7;40279.8228
PAN;GO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;GO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;MA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;MA;Área prioritária para restauração;324853361.9;34017356.87;445307612.6;923445612.1;0;71850;1727695793;24044.87047;502950000;1224745793;17044.87047
FAM;MA;Área prioritária para restauração;2417115825;175146540.7;7873124092;4346800568;0;369937;14812556962;40039.75549;2589559000;12222997962;33039.75549
MAT;MA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;MA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;MA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;MG;Área prioritária para restauração;58186547.04;3880435.992;37128746.36;107166393.4;0;8953;206371075.7;23049.49433;62671000;143700075.7;16049.49433
CER;MG;Área prioritária para restauração;2866761970;300195954.3;3929745166;8149211527;0;634061;15246548678;24044.87047;4438427000;10808121678;17044.87047
FAM;MG;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;MG;Área prioritária para restauração;7173571866;89367477.85;15526767773;25686153361;0;1025297;48476885775;47279.8228;7177079000;41299806775;40279.8228
PAN;MG;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;MG;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;MS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;MS;Área prioritária para restauração;642441040.5;67273880.17;880655457.2;1826237402;0;142093;3416749873;24044.87047;994651000;2422098873;17044.87047
FAM;MS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;MS;Área prioritária para restauração;257208251.8;3204268.832;556711896;920976429.1;0;36762;1738137608;47279.8228;257334000;1480803608;40279.8228
PAN;MS;Área prioritária para restauração;17571925.77;905792.9847;54543861.88;64532210.84;0;10392;137564183.5;13236.50803;72744000;64820183.48;6236.508033
SUL;MS;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;MT;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;MT;Área prioritária para restauração;811676756.4;84995573.77;1112643060;2307315937;0;179524;4316810851;24044.87047;1256668000;3060142851;17044.87047
FAM;MT;Área prioritária para restauração;11299294653;818757773.4;36804503964;20319994561;0;1729345;69244280297;40039.75549;12105415000;57138865297;33039.75549
MAT;MT;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;MT;Área prioritária para restauração;32935524.46;1697751.709;102233000.5;120954426.8;0;19478;257840181.5;13236.50803;136346000;121494181.5;6236.508033
SUL;MT;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;PA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;PA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;PA;Área prioritária para restauração;10166781047;736694746.7;33115636403;18283347937;0;1556015;62304016148;40039.75549;10892105000;51411911148;33039.75549
MAT;PA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;PA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;PA;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;PB;Área prioritária para restauração;332806511.9;22194724.26;212363324.4;612953945.1;0;51208;1180369714;23049.49433;358456000;821913713.7;16049.49433
CER;PB;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;PB;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;PB;Área prioritária para restauração;87534204.83;1090490.38;189462557.3;313430610.5;0;12511;591530374.1;47279.8228;87577000;503953374.1;40279.8228
PAN;PB;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;PB;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;PE;Área prioritária para restauração;237692012.2;15851578.86;151670908.1;437774657;0;36573;843025729.2;23049.49433;256011000;587014729.2;16049.49433
CER;PE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;PE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;PE;Área prioritária para restauração;335856800.8;4184062.802;726941982.1;1202590488;0;48003;2269621337;47279.8228;336021000;1933600337;40279.8228
PAN;PE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;PE;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;PI;Área prioritária para restauração;260386910.2;17365091.92;166152487.8;479573500.5;0;40065;923518055.4;23049.49433;280455000;643063055.4;16049.49433
CER;PI;Área prioritária para restauração;98889251.67;10355290.6;135556967.3;281107897.4;0;21872;525931279;24044.87047;153104000;372827279;17044.87047
FAM;PI;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;PI;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;PI;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;PI;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;PR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;PR;Área prioritária para restauração;63686631.26;6669011.676;87301364.39;181039038.2;0;14086;338710131.5;24044.87047;98602000;240108131.5;17044.87047
FAM;PR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;PR;Área prioritária para restauração;9373401377;116772683.9;20288167337;33563004566;0;1339712;63342685675;47279.8228;9377984000;53964701675;40279.8228
PAN;PR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;PR;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;RJ;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;RJ;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;RJ;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;RJ;Área prioritária para restauração;778376454.5;9696918.335;1684749338;2787104856;0;111251;5260038817;47279.8228;778757000;4481281817;40279.8228
PAN;RJ;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;RJ;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;RN;Área prioritária para restauração;606601089.5;40453967.8;387071224.2;1117221321;0;93336;2151440939;23049.49433;653352000;1498088939;16049.49433
CER;RN;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
FAM;RN;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;RN;Área prioritária para restauração;30113277.72;375147.5179;65178390.74;107825541.3;0;4304;203496661.3;47279.8228;30128000;173368661.3;40279.8228
PAN;RN;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;RN;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;RO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
